SIZE,TIME
5000,37093839
10000,79412208
15000,122170737
20000,167893352
25000,214530837
30000,259066808
35000,306365325
40000,356126857
45000,405539655
50000,453742684
55000,503549402
60000,550084261
65000,595855402
70000,649267847
75000,703547521
80000,754859448
85000,807424725
90000,857494371
95000,910687003
100000,957605309
