SIZE,TIME
5000,756
10000,1152
15000,1476
20000,1584
25000,1416
30000,1488
35000,1632
40000,1596
45000,1452
50000,1548
55000,1584
60000,1560
65000,1572
70000,1620
75000,1584
80000,1596
85000,1632
90000,1632
95000,1752
100000,1644
