SIZE,TIME
5000,2844
10000,1248
15000,2280
20000,3216
25000,3864
30000,5052
35000,5100
40000,4308
45000,4284
50000,6144
55000,6000
60000,4860
65000,5688
70000,4608
75000,5040
80000,4536
85000,4068
90000,4956
95000,4296
100000,4380
